customer_id,name,age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,credit_card_default
CST_163941,Schnurr,47,F,N,Y,1,357099.26,4459,Unknown,3,0,54233.37,102058.25,18,697,0,0,0
CST_121617,Baker,54,F,N,Y,0,133802.76,470,Cooking staff,2,0,11925.51,20475.77,87,786,0,0,0
CST_100941,Mark Potter,27,F,N,Y,0,228500.2,365250,Unknown,2,0,33637,34134.95,8,880,0,0,0
CST_138584,Tom,37,F,N,Y,0,144346,365245,Unknown,2,0,32316.16,52305.98,45,718,0,0,0
CST_120054,Ritsuko Ando,46,F,N,N,1,122600.11,682,Unknown,3,0,25763.05,27549.16,59,718,0,0,0
CST_153171,Valetkevitch,34,F,N,N,0,163058.37,5532,Managers,2,0,15573.27,39285.68,25,827,0,0,0
CST_110480,Euan Rocha,40,M,N,N,0,219493.86,365241,Unknown,2,0,22883.07,58779.72,47,695,0,0,0
CST_121559,Joshua Schneyer,32,M,Y,Y,1,203260.51,4166,Core staff,3,0,31547.22,65212.54,46,667,0,0,0
CST_160167,Aldred,26,F,N,Y,0,168227.04,704,Sales staff,1,0,51417.79,33704.42,92,684,0,0,1
CST_138166,Nigel,32,F,N,N,0,315928.3,264,Sales staff,2,0,29845.3,105993.07,52,660,0,0,0
CST_110122,Carolyn Cohn,42,F,Y,Y,0,112242.4,184,Unknown,1,0,13848.27,28759.74,62,670,0,0,0
CST_135987,Sarah,54,F,N,Y,,167024.03,1594,Unknown,1,0,46454.97,59116.13,55,795,0,0,0
CST_159495,Cable,23,F,Y,Y,1,345113.32,2728,Managers,3,0,27724.61,58440.38,14,910,0,0,0
CST_152490,Dixon,47,M,Y,Y,1,277852.01,1174,Managers,2,0,67778.4,54600.62,81,675,0,0,0
CST_100639,Ana Nicolaci,35,F,,Y,0,111004.26,552,Sales staff,2,1,18948.02,36232.92,19,850,0,0,0
CST_163043,Rabinovitch,48,F,N,Y,0,237560.19,8821,High skill tech staff,2,0,60377.58,85976.63,82,817,0,0,0
CST_154589,Chyen,34,F,N,Y,0,99733.22,365249,Unknown,2,0,14031.65,23885.35,23,927,0,0,0
CST_149006,Viswanatha,47,F,N,Y,0,249056.89,3726,Unknown,2,0,31069.18,89526.7,18,745,0,0,0
CST_148835,Campos,35,F,N,Y,0,103313.62,365240,Unknown,2,0,19757.49,38684.04,83,733,0,0,0
CST_138798,Patrick,29,F,N,N,1,168265.37,1719,Unknown,3,0,33491.97,40401.76,59,885,0,0,0
CST_141151,Krista,38,F,Y,Y,0,333476.92,3124,Cooking staff,1,0,54729.8,59806.61,92,737,0,0,0
CST_100063,Sarah Marsh,33,F,N,Y,0,231784.64,4109,Managers,2,0,52787.96,42641.06,88,793,0,0,0
CST_160999,Spicer,23,M,N,N,0,191440.02,951,Laborers,2,1,17174,55154.39,37,809,0,0,0
CST_115830,Brenda Goh,52,F,N,Y,0,80330.61,365242,Unknown,1,0,10554.83,18501.25,82,663,0,0,0
CST_110711,Paul Day,44,M,Y,N,1,193379.92,4426,Drivers,3,0,42354.65,22999.88,48,852,0,0,0
CST_111040,Phil Wahba,45,M,Y,N,2,144834.72,1527,Drivers,4,0,34165.23,58456.16,71,646,1,1,1
CST_146926,Bhat,36,F,N,Y,0,353249.52,365240,Unknown,2,0,39183.28,123812.86,96,711,0,0,0
CST_106140,Emma Farge,45,F,N,Y,0,105752.24,4379,Core staff,2,0,44008.71,26127.61,64,784,0,0,0
