customer_id,name,age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,credit_card_default
CST_129878,Nathan,35,F,Y,Y,0,341197.39,1922,Accountants,1,0,30413.95,67920.46,96,845,0,0,0
CST_105272,David Henry,54,F,Y,Y,0,128563.55,530,Laborers,2,0,46387.86,15998.52,96,696,0,0,0
CST_161949,Shirbon,33,F,N,Y,0,218517.34,12356,Core staff,2,0,41889.52,32478.5,68,655,0,0,0
CST_116452,Jonathan Spicer,23,F,Y,N,2,180809.58,321,Unknown,4,0,16632.3,33862.97,1,864,0,0,0
CST_154962,Chan,38,F,N,Y,0,189239.3,4051,Unknown,1,0,17731.43,55182.36,32,682,0,0,0
CST_116470,ernard Vaughan,33,F,Y,Y,2,165543.92,4479,Unknown,,0,13092.21,21725.67,5,890,0,0,0
CST_148455,Jones,26,M,N,Y,0,228522.21,1132,Drivers,2,0,31101.48,57922.78,1,775,0,0,0
CST_150384,Mutikani,49,F,N,Y,2,141307.72,2784,Laborers,4,0,17234.96,28582.94,93,937,0,0,0
CST_101475,Kentaro Hamada,39,F,N,N,0,73675,365240,Unknown,1,0,11292.91,28310.62,94,826,0,0,0
CST_145632,Ryan,39,F,N,N,3,152463.23,448,Laborers,5,0,24514.33,25080.68,65,673,0,0,0
CST_145649,Taro,53,F,Y,Y,2,167750.08,3438,Laborers,4,1,26909.74,43735.23,32,900,0,0,0
CST_155756,Kok,28,F,N,Y,0,157474.16,8387,Laborers,2,1,50416.54,46414.21,13,660,0,0,0
CST_145754,Deepa,27,M,Y,N,0,289788.49,1669,Drivers,2,0,27472.81,34605.99,43,830,0,0,0
CST_144001,Margaret,46,M,N,Y,0,63088.73,365242,Unknown,1,0,13723.18,19672.59,39,849,0,0,0
CST_139827,Alister,37,F,N,N,2,289225.43,319,Laborers,4,0,45507.57,55715.15,10,772,0,0,0
CST_146400,Solarina,31,F,Y,Y,0,132099,6045,Core staff,2,0,21484.66,19356.55,54,819,0,0,0
CST_131469,Pedro,50,F,N,Y,2,388696.02,1068,Accountants,3,1,50902.98,42623.86,30,662,0,0,0
CST_115562,Ernest Scheyder,30,F,Y,Y,3,92301.22,284,Sales staff,5,0,38832.09,32157.16,90,825,0,0,0
CST_145213,Natalie,30,F,Y,Y,1,141765.21,3467,Unknown,3,1,26753.35,21721.95,22,792,0,0,0
CST_116073,Alwyn Scott,38,F,N,N,0,144179.29,2331,Unknown,2,1,17620.72,22721.08,62,807,0,0,0
CST_163365,Abboud,47,M,Y,Y,3,172636.92,238,Core staff,5,0,18786.13,43350.21,5,759,0,0,0
CST_164719,Gordeyeva,46,F,N,Y,4,85792.29,8467,Unknown,6,0,20256.54,31185.97,93,556,1,1,1
CST_131398,Harry,55,M,Y,Y,0,175379.24,655,Drivers,2,0,15048.75,53643.8,34,861,0,0,0
CST_151134,Krishnan,54,M,Y,N,0,245895.75,279,Managers,1,0,56020.67,71732.98,45,853,0,0,0
CST_129395,Nick,53,F,N,N,1,162987.1,303,Core staff,2,0,16967.13,56770.95,68,788,0,0,0
CST_102834,Herbert Lash,26,F,N,Y,1,310762.33,365241,Unknown,3,0,41845.38,54438.71,97,785,0,0,0
CST_102743,Isabel Reynolds,46,F,N,N,0,117421.07,345,Core staff,2,0,19079.93,44323.68,44,694,0,0,0
CST_159877,Holden,48,F,N,N,0,105991.84,365247,Unknown,2,0,23005.06,25716.89,40,711,0,0,0
CST_138464,Sakthi,53,F,N,N,0,146628.52,1325,Cooking staff,2,1,27882.76,39242.12,0,874,0,0,0
CST_146944,Carew,35,M,Y,N,1,219465.61,2242,Security staff,3,0,33621.93,75249.59,89,656,0,0,0
CST_126154,Michael Shields,52,F,Y,Y,0,124633,1773,Unknown,2,0,44497.76,17426.99,11,783,0,0,0
CST_103309,Katya Wachtel,36,M,N,N,1,222342.92,1567,Laborers,3,0,57492.32,41128.18,14,749,0,0,0
CST_140389,Steven,34,F,N,Y,0,127858.78,12679,Unknown,2,0,11618.35,40266.34,10,767,0,0,0
CST_138813,Jan,39,M,Y,N,0,171872.58,1091,Unknown,2,0,37564.04,28131.89,71,799,0,0,0
CST_111230,Emily Stephenson,37,F,N,Y,,168746.45,3048,Laborers,1,0,29049.57,24949.12,76,854,0,0,0
CST_111904,Michael Erman,25,F,Y,Y,0,204535.62,2387,Security staff,2,1,34637.79,51988.8,56,917,0,0,0
CST_110123,Diane Bartz,29,M,Y,Y,1,154537.2,2810,Laborers,3,0,53853.18,26901.5,53,903,0,0,0
CST_116989,Stephen Aldred,53,M,Y,Y,0,100423.32,5091,Laborers,1,0,7644.01,27975.62,87,860,0,0,0
CST_137578,Huw,43,M,Y,N,0,273659.43,2548,Drivers,2,0,73876.73,45378.66,3,788,0,0,0
CST_165571,Vaughan,47,F,Y,N,0,250492.18,365246,Unknown,2,0,44321.89,52561.1,67,867,0,0,0
CST_115994,Gerry Shih,54,F,N,Y,0,169441.26,4395,Laborers,2,0,9939.38,25144.99,81,671,0,0,1
CST_157225,Nicolaci,49,M,Y,Y,0,140459.94,1169,Security staff,2,0,25067.39,25445.16,90,868,0,0,0
CST_154069,Egenter,48,F,N,Y,0,219031.66,939,Unknown,2,1,8921.51,41912.17,79,889,0,0,0
CST_165226,Blount,38,F,N,Y,1,135943.93,2914,Laborers,2,0,11666.95,25711.34,6,732,0,0,0
CST_132651,Dhanya,49,F,Y,Y,0,170642.14,2994,High skill tech staff,2,0,44038.15,40067.34,58,871,0,0,0
CST_146896,Yao,47,F,N,Y,0,171408.06,504,Unknown,1,0,27585,35693.41,88,734,0,0,0
CST_158143,Boadle,38,F,N,N,0,147243.5,3539,Secretaries,2,0,47349.42,18383.53,68,697,0,0,0
CST_142275,Jennifer,42,F,N,Y,0,425126.87,365243,Unknown,2,0,30299.39,124146.7,38,911,0,0,0
CST_144107,en,25,F,N,Y,0,95464.5,365241,Unknown,1,0,19421.88,20015.94,36,743,0,0,0
CST_140282,Jonathan,48,F,N,N,0,120237.46,1016,Cleaning staff,2,0,34955.12,46398.83,40,770,0,0,0
CST_110908,ernie Woodall,38,F,N,Y,1,178331.86,3215,Laborers,2,0,12046.77,42891.19,30,933,0,0,0
CST_158319,Russ,30,M,Y,Y,2,310217.55,893,Laborers,4,0,38374.63,78643.94,19,899,0,0,0
CST_132449,Claire,39,F,N,N,0,202759.09,905,Sales staff,1,0,11462.94,31631.66,61,733,0,0,0
CST_102702,Isabel Reynolds,43,M,Y,Y,0,335910.31,1155,High skill tech staff,2,0,38662.01,63058.91,32,756,0,0,0
CST_118273,Jason Lange,39,F,N,Y,1,225589.46,774,Unknown,3,,11597.15,40682.27,29,800,0,0,0
CST_108962,Edward Krudy,40,F,N,Y,0,145581.3,3065,Unknown,2,0,37285.39,35999.59,80,553,1,1,1
CST_146989,Sieg,52,M,Y,Y,0,128189.93,1600,Drivers,2,0,16533.35,16771.65,72,775,0,0,0
CST_117665,Anurag Kotoky,26,M,Y,Y,0,246533.34,651,Laborers,2,1,36393.42,63787.37,72,743,0,0,0
CST_107587,Mark Felsenthal,36,F,N,Y,,156323.82,365247,Unknown,1,0,22165.62,27339.22,53,672,0,0,0
CST_143498,Margaret,54,M,N,Y,1,308171.88,815,Unknown,3,1,15742.12,113687.54,86,854,0,0,0
CST_162746,Skariachan,44,M,Y,Y,0,400051.89,3206,Laborers,1,1,41185.65,152197.07,94,630,1,1,1
